Valor;Actual;Soporte 2;Soporte 1;Resistencia 1;Resistencia 2;;Promedio Soportes;Promedio Resistencias;;Distancia a soportes;Distancia a resistencias
ABERTIS;15,035;14,695;14,695;15,495;15,495;;14,695;15,495;;2,26139008979049;3,05952776854007;
ACCIONA;74,03;71,530;71,530;75,370;75,370;;71,53;75,37;;3,37700932054572;1,81007699581251;
ACS;30,195;29,660;29,660;31,330;31,330;;29,66;31,33;;1,77181652591489;3,75890048021195;
AMADEUS;39,39;38,095;38,095;39,540;39,540;;38,095;39,54;;3,28763645595329;0,380807311500377;
ARCELORMIT;7,864;7,730;7,730;8,550;8,550;;7,73;8,55;;1,70396744659206;8,72329603255342;
B. SABADEL;2,104;2,085;2,085;2,285;2,285;;2,085;2,285;;0,903041825095063;8,60266159695818;
B. POPULAR;4,223;;;;;;0;0;;100;-100;
Bankia;1,214;1,190;1,190;1,240;1,240;;1,19;1,24;;1,97693574958814;2,14168039538715;
BANKINTER;7,037;7,010;7,010;7,400;7,400;;7,01;7,4;;0,383686229927528;5,15844820235897;
BBVA;9,297;9,110;9,110;9,465;9,465;;9,11;9,465;;2,01140152737443;1,80703452726685;
BME;38,58;37,250;37,250;39,800;39,800;;37,25;39,8;;3,4473820632452;3,16226023846552;
CAIXABANK;4,189;4,175;4,175;4,390;4,390;;4,175;4,39;;0,334208641680598;4,79828121269992;
DIA;6,627;6,445;6,445;6,710;6,710;;6,445;6,71;;2,74634072732759;1,25245208993512;
ENAGAS;25,76;25,260;25,260;26,330;26,330;;25,26;26,33;;1,94099378881988;2,21273291925465;
FCC;9,063;8,950;8,950;9,700;9,700;;8,95;9,7;;1,24682776122698;7,02857773364227;
FERROVIAL;21,385;20,870;20,870;21,635;21,635;;20,87;21,635;;2,40823006780454;1,16904372223521;
GAS NATURAL;20,55;20,205;20,205;21,210;21,210;;20,205;21,21;;1,67883211678833;3,21167883211679;
GRIFOLS;38,705;37,450;37,450;40,965;40,965;;37,45;40,965;;3,24247513241182;5,83903888386515;
IAG;7,966;7,785;7,785;8,260;8,260;;7,785;8,26;;2,27215666582978;3,69068541300527;
IBERDROLA;6,389;6,260;6,260;6,495;6,495;;6,26;6,495;;2,0190953200814;1,65910158084207;
INDITEX;30,7;;;;;;0;0;;100;-100;
INDRA;11,19;10,810;10,810;11,400;11,400;;10,81;11,4;;3,3958891867739;1,87667560321717;
Jazztel;13;12,975;12,975;13,010;13,010;;12,975;13,01;;0,192307692307695;0,0769230769230753;
MAPFRE;3,023;3,395;3,395;3,395;3,395;;3,395;3,395;;-12,3056566324843;12,3056566324843;
MEDIASET;12,815;12,515;12,515;13,195;13,195;;12,515;13,195;;2,34100663285212;2,96527506827937;
OHL;17,925;17,235;17,235;18,760;18,760;;17,235;18,76;;3,84937238493725;4,65829846582985;
REE;72,86;71,625;71,625;74,580;74,580;;71,625;74,58;;1,69503156738951;2,36069173757892;
REPSOL;15,915;15,675;15,675;16,995;16,995;;15,675;16,995;;1,50801131008482;6,78605089538173;
SACYR;3,269;3,210;3,210;3,600;3,600;;3,21;3,6;;1,80483328234935;10,125420617926;
SANTANDER;6,551;6,455;6,455;6,795;6,795;;6,455;6,795;;1,46542512593497;3,72462219508472;
TECNICAS R;43,96;42,525;42,525;45,335;45,335;;42,525;45,335;;3,26433121019109;3,12784349408553;
TELEFONICA;13,805;13,445;13,445;14,120;14,120;;13,445;14,12;;2,60775081492213;2,28178196305686;
ACERINOX;11,265;10,870;10,870;12,260;12,260;;10,87;12,26;;3,5064358632934;8,83266755437194;
